Hour,Technology,Charging power (MW),Discharging power (MW),State of charge (MWh)
60,Li-Ion,0.0,0.0,1695.550590071418
60,CAES,0.0,0.0,-0.0
60,PHS,0.0,0.0,-0.0
60,H2,0.0,0.0,-0.0
61,Li-Ion,0.0,0.0,1695.550590071418
61,CAES,0.0,0.0,-0.0
61,PHS,0.0,0.0,-0.0
61,H2,0.0,0.0,-0.0
62,Li-Ion,0.0,0.0,1695.550590071418
62,CAES,0.0,0.0,-0.0
62,PHS,0.0,0.0,-0.0
62,H2,0.0,0.0,-0.0
63,Li-Ion,0.0,0.0,1695.550590071418
63,CAES,0.0,0.0,-0.0
63,PHS,0.0,0.0,-0.0
63,H2,0.0,0.0,-0.0
64,Li-Ion,0.0,0.0,1695.550590071418
64,CAES,0.0,0.0,-0.0
64,PHS,0.0,0.0,-0.0
64,H2,0.0,0.0,-0.0
65,Li-Ion,0.0,0.0,1695.550590071418
65,CAES,0.0,0.0,-0.0
65,PHS,0.0,0.0,-0.0
65,H2,0.0,0.0,-0.0
66,Li-Ion,0.0,0.0,1695.550590071418
66,CAES,0.0,0.0,-0.0
66,PHS,0.0,0.0,-0.0
66,H2,0.0,0.0,-0.0
67,Li-Ion,0.0,0.0,1695.550590071418
67,CAES,0.0,0.0,-0.0
67,PHS,0.0,0.0,-0.0
67,H2,0.0,0.0,-0.0
68,Li-Ion,0.0,0.0,1695.550590071418
68,CAES,0.0,0.0,-0.0
68,PHS,0.0,0.0,-0.0
68,H2,0.0,0.0,-0.0
69,Li-Ion,0.0,0.0,1695.550590071418
69,CAES,0.0,0.0,-0.0
69,PHS,0.0,0.0,-0.0
69,H2,0.0,0.0,-0.0
70,Li-Ion,0.0,0.0,1695.550590071418
70,CAES,0.0,0.0,-0.0
70,PHS,0.0,0.0,-0.0
70,H2,0.0,0.0,-0.0
71,Li-Ion,0.0,0.0,1695.550590071418
71,CAES,0.0,0.0,-0.0
71,PHS,0.0,0.0,-0.0
71,H2,0.0,0.0,-0.0
72,Li-Ion,0.0,0.0,1695.550590071418
72,CAES,0.0,0.0,-0.0
72,PHS,0.0,0.0,-0.0
72,H2,0.0,0.0,-0.0
73,Li-Ion,0.0,0.0,1695.550590071418
73,CAES,0.0,0.0,-0.0
73,PHS,0.0,0.0,-0.0
73,H2,0.0,0.0,-0.0
74,Li-Ion,0.0,0.0,1695.550590071418
74,CAES,0.0,0.0,-0.0
74,PHS,0.0,0.0,-0.0
74,H2,0.0,0.0,-0.0
75,Li-Ion,0.0,0.0,1695.550590071418
75,CAES,0.0,0.0,-0.0
75,PHS,0.0,0.0,-0.0
75,H2,0.0,0.0,-0.0
76,Li-Ion,0.0,0.0,1695.550590071418
76,CAES,0.0,0.0,-0.0
76,PHS,0.0,0.0,-0.0
76,H2,0.0,0.0,-0.0
77,Li-Ion,0.0,0.0,1695.550590071418
77,CAES,0.0,0.0,-0.0
77,PHS,0.0,0.0,-0.0
77,H2,0.0,0.0,-0.0
78,Li-Ion,0.0,0.0,1695.550590071418
78,CAES,0.0,0.0,-0.0
78,PHS,0.0,0.0,-0.0
78,H2,0.0,0.0,-0.0
79,Li-Ion,0.0,0.0,1695.550590071418
79,CAES,0.0,0.0,-0.0
79,PHS,0.0,0.0,-0.0
79,H2,0.0,0.0,-0.0
80,Li-Ion,0.0,0.0,1695.550590071418
80,CAES,0.0,0.0,-0.0
80,PHS,0.0,0.0,-0.0
80,H2,0.0,0.0,-0.0
81,Li-Ion,0.0,0.0,1695.550590071418
81,CAES,0.0,0.0,-0.0
81,PHS,0.0,0.0,-0.0
81,H2,0.0,0.0,-0.0
82,Li-Ion,0.0,297.0482339630075,1373.3565431323254
82,CAES,0.0,0.0,-0.0
82,PHS,0.0,0.0,-0.0
82,H2,0.0,-0.0,0.0
83,Li-Ion,0.0,462.8931046272886,871.2784775928413
83,CAES,0.0,0.0,-0.0
83,PHS,0.0,0.0,-0.0
83,H2,0.0,-0.0,0.0
84,Li-Ion,0.0,497.73046492354194,331.4139894620587
84,CAES,0.0,0.0,-0.0
84,PHS,0.0,0.0,-0.0
84,H2,0.0,-0.0,0.0
85,Li-Ion,0.0,171.24969439391992,145.66761643116865
85,CAES,0.0,0.0,-0.0
85,PHS,0.0,0.0,0.0
85,H2,0.0,-0.0,0.0
86,Li-Ion,0.0,0.0,145.66761643116865
86,CAES,0.0,0.0,-0.0
86,PHS,0.0,0.0,-0.0
86,H2,0.0,0.0,-0.0
87,Li-Ion,0.0,0.0,145.66761643116865
87,CAES,0.0,0.0,-0.0
87,PHS,0.0,0.0,-0.0
87,H2,0.0,0.0,-0.0
88,Li-Ion,0.0,0.0,145.66761643116865
88,CAES,0.0,0.0,-0.0
88,PHS,0.0,0.0,-0.0
88,H2,0.0,0.0,-0.0
89,Li-Ion,0.0,0.0,145.66761643116865
89,CAES,0.0,0.0,-0.0
89,PHS,0.0,0.0,-0.0
89,H2,0.0,0.0,-0.0
90,Li-Ion,0.0,0.0,145.66761643116865
90,CAES,0.0,0.0,-0.0
90,PHS,0.0,0.0,-0.0
90,H2,0.0,0.0,-0.0
91,Li-Ion,0.0,46.1288553404989,95.63384789284378
91,CAES,0.0,-0.0,-0.0
91,PHS,0.0,-0.0,-0.0
91,H2,0.0,-0.0,0.0
92,Li-Ion,0.0,0.0,95.63384789284378
92,CAES,0.0,0.0,-0.0
92,PHS,0.0,0.0,-0.0
92,H2,0.0,0.0,-0.0
93,Li-Ion,0.0,0.0,95.63384789284378
93,CAES,0.0,0.0,-0.0
93,PHS,0.0,0.0,-0.0
93,H2,0.0,0.0,-0.0
94,Li-Ion,0.0,0.0,95.63384789284378
94,CAES,0.0,0.0,-0.0
94,PHS,0.0,0.0,-0.0
94,H2,0.0,0.0,-0.0
95,Li-Ion,0.0,0.0,95.63384789284378
95,CAES,0.0,0.0,-0.0
95,PHS,0.0,0.0,-0.0
95,H2,0.0,0.0,-0.0
96,Li-Ion,0.0,0.0,95.63384789284378
96,CAES,0.0,0.0,-0.0
96,PHS,0.0,0.0,-0.0
96,H2,0.0,0.0,-0.0
97,Li-Ion,0.0,0.0,95.63384789284378
97,CAES,0.0,0.0,-0.0
97,PHS,0.0,0.0,-0.0
97,H2,0.0,0.0,-0.0
98,Li-Ion,0.0,0.0,95.63384789284378
98,CAES,0.0,0.0,-0.0
98,PHS,0.0,0.0,-0.0
98,H2,0.0,0.0,-0.0
99,Li-Ion,0.0,0.0,95.63384789284378
99,CAES,0.0,0.0,-0.0
99,PHS,0.0,0.0,-0.0
99,H2,0.0,0.0,-0.0
100,Li-Ion,0.0,0.0,95.63384789284378
100,CAES,0.0,0.0,-0.0
100,PHS,0.0,0.0,-0.0
100,H2,0.0,0.0,-0.0
101,Li-Ion,0.0,0.0,95.63384789284378
101,CAES,0.0,0.0,-0.0
101,PHS,0.0,0.0,-0.0
101,H2,0.0,0.0,-0.0
102,Li-Ion,0.0,0.0,95.63384789284378
102,CAES,0.0,0.0,-0.0
102,PHS,0.0,0.0,-0.0
102,H2,0.0,0.0,-0.0
103,Li-Ion,0.0,0.0,95.63384789284378
103,CAES,0.0,0.0,-0.0
103,PHS,0.0,0.0,-0.0
103,H2,0.0,0.0,-0.0
104,Li-Ion,0.0,0.0,95.63384789284378
104,CAES,0.0,0.0,-0.0
104,PHS,0.0,0.0,-0.0
104,H2,0.0,0.0,-0.0
105,Li-Ion,0.0,0.0,95.63384789284378
105,CAES,0.0,0.0,-0.0
105,PHS,0.0,0.0,-0.0
105,H2,0.0,0.0,-0.0
106,Li-Ion,0.0,0.0,95.63384789284378
106,CAES,0.0,0.0,-0.0
106,PHS,0.0,0.0,-0.0
106,H2,0.0,0.0,-0.0
107,Li-Ion,0.0,88.1700512270059,-0.0
107,CAES,0.0,0.0,-0.0
107,PHS,0.0,0.0,-0.0
107,H2,0.0,-0.0,-0.0
108,Li-Ion,0.0,0.0,-0.0
108,CAES,0.0,0.0,-0.0
108,PHS,0.0,0.0,-0.0
108,H2,0.0,0.0,-0.0
109,Li-Ion,0.0,0.0,-0.0
109,CAES,0.0,0.0,-0.0
109,PHS,0.0,0.0,-0.0
109,H2,0.0,0.0,-0.0
110,Li-Ion,0.0,0.0,-0.0
110,CAES,0.0,0.0,-0.0
110,PHS,0.0,0.0,-0.0
110,H2,0.0,0.0,-0.0
111,Li-Ion,0.0,0.0,-0.0
111,CAES,0.0,0.0,-0.0
111,PHS,0.0,0.0,-0.0
111,H2,0.0,0.0,-0.0
112,Li-Ion,0.0,0.0,-0.0
112,CAES,0.0,0.0,-0.0
112,PHS,0.0,0.0,-0.0
112,H2,0.0,0.0,-0.0
113,Li-Ion,0.0,0.0,-0.0
113,CAES,0.0,0.0,-0.0
113,PHS,0.0,0.0,-0.0
113,H2,0.0,0.0,-0.0
114,Li-Ion,0.0,0.0,-0.0
114,CAES,0.0,0.0,-0.0
114,PHS,0.0,0.0,-0.0
114,H2,0.0,0.0,-0.0
115,Li-Ion,0.0,0.0,-0.0
115,CAES,0.0,0.0,-0.0
115,PHS,0.0,0.0,-0.0
115,H2,0.0,0.0,-0.0
116,Li-Ion,0.0,0.0,-0.0
116,CAES,0.0,0.0,-0.0
116,PHS,0.0,0.0,-0.0
116,H2,0.0,0.0,-0.0
117,Li-Ion,0.0,0.0,-0.0
117,CAES,0.0,0.0,-0.0
117,PHS,0.0,0.0,-0.0
117,H2,0.0,0.0,-0.0
118,Li-Ion,0.0,0.0,0.0
118,CAES,0.0,0.0,0.0
118,PHS,0.0,0.0,0.0
118,H2,0.0,0.0,0.0
119,Li-Ion,381.6085497572945,0.0,351.82569897704417
119,CAES,-0.0,0.0,0.0
119,PHS,-0.0,0.0,0.0
119,H2,-0.0,0.0,0.0
120,Li-Ion,573.4685608919497,0.0,880.5375881773546
120,CAES,0.0,0.0,-0.0
120,PHS,-0.0,0.0,0.0
120,H2,-0.0,0.0,-0.0
121,Li-Ion,150.22062868330605,0.0,1019.0341646321773
121,CAES,-0.0,0.0,0.0
121,PHS,-0.0,0.0,0.0
121,H2,0.0,0.0,-0.0
122,Li-Ion,175.1746926991076,0.0,1180.5372513453815
122,CAES,-0.0,0.0,0.0
122,PHS,-0.0,0.0,0.0
122,H2,0.0,0.0,0.0
123,Li-Ion,676.0078208755946,0.0,1803.7856671494046
123,CAES,-0.0,0.0,0.0
123,PHS,-0.0,0.0,0.0
123,H2,-0.0,0.0,0.0
124,Li-Ion,288.71476533052464,0.0,2069.96752859357
124,CAES,0.0,0.0,-0.0
124,PHS,-0.0,0.0,-0.0
124,H2,-0.0,0.0,-0.0
125,Li-Ion,0.0,51.46704794930377,2014.143677222484
125,CAES,0.0,-0.0,0.0
125,PHS,0.0,0.0,-0.0
125,H2,0.0,0.0,-0.0
126,Li-Ion,0.0,19.149587911705666,1993.3730328588595
126,CAES,0.0,-0.0,-0.0
126,PHS,0.0,0.0,-0.0
126,H2,0.0,0.0,-0.0
127,Li-Ion,0.0,361.96590867664764,1600.7658814390043
127,CAES,0.0,0.0,0.0
127,PHS,0.0,0.0,0.0
127,H2,0.0,0.0,-0.0
128,Li-Ion,270.26166388057544,0.0,1849.9348239638955
128,CAES,-0.0,0.0,0.0
128,PHS,-0.0,0.0,-0.0
128,H2,-0.0,0.0,-0.0
129,Li-Ion,0.0,630.4602878989593,1166.1046295118804
129,CAES,0.0,-0.0,0.0
129,PHS,0.0,0.0,-0.0
129,H2,0.0,0.0,-0.0
130,Li-Ion,0.0,748.5453930399117,354.1931554609106
130,CAES,0.0,-0.0,-0.0
130,PHS,0.0,0.0,-0.0
130,H2,0.0,0.0,-0.0
131,Li-Ion,0.0,0.0,354.1931554609106
131,CAES,0.0,0.0,-0.0
131,PHS,0.0,0.0,-0.0
131,H2,0.0,0.0,-0.0
132,Li-Ion,0.0,0.0,354.1931554609106
132,CAES,0.0,0.0,0.0
132,PHS,0.0,0.0,0.0
132,H2,0.0,0.0,0.0
133,Li-Ion,47.27172904500297,0.0,397.7755362112614
133,CAES,-0.0,0.0,0.0
133,PHS,-0.0,0.0,0.0
133,H2,-0.0,0.0,0.0
134,Li-Ion,209.61054902134796,0.0,591.0269137532501
134,CAES,-0.0,0.0,-0.0
134,PHS,-0.0,0.0,-0.0
134,H2,-0.0,0.0,-0.0
135,Li-Ion,0.0,0.0,591.0269137532501
135,CAES,0.0,0.0,-0.0
135,PHS,0.0,0.0,0.0
135,H2,0.0,0.0,-0.0
136,Li-Ion,144.6148190158891,0.0,724.3551890632856
136,CAES,0.0,0.0,0.0
136,PHS,-0.0,0.0,0.0
136,H2,0.0,0.0,-0.0
137,Li-Ion,276.4960700454703,0.0,979.2719700683838
137,CAES,-0.0,0.0,0.0
137,PHS,-0.0,0.0,0.0
137,H2,0.0,0.0,-0.0
138,Li-Ion,76.90512982152899,0.0,1050.1749964067305
138,CAES,-0.0,0.0,-0.0
138,PHS,-0.0,0.0,-0.0
138,H2,0.0,0.0,-0.0
139,Li-Ion,0.0,0.0,1050.1749964067305
139,CAES,0.0,0.0,-0.0
139,PHS,0.0,0.0,-0.0
139,H2,0.0,0.0,-0.0
140,Li-Ion,0.0,0.0,1050.1749964067305
140,CAES,0.0,0.0,0.0
140,PHS,0.0,0.0,0.0
140,H2,0.0,0.0,0.0
141,Li-Ion,67.03061284631937,0.0,1111.9741679203535
141,CAES,-0.0,0.0,0.0
141,PHS,-0.0,0.0,-0.0
141,H2,-0.0,0.0,0.0
142,Li-Ion,270.51153276923606,0.0,1361.373478177995
142,CAES,-0.0,0.0,0.0
142,PHS,0.0,0.0,0.0
142,H2,-0.0,0.0,0.0
143,Li-Ion,341.99748445600187,0.0,1676.6795794004393
143,CAES,-0.0,0.0,-0.0
143,PHS,-0.0,0.0,-0.0
143,H2,-0.0,0.0,-0.0
144,Li-Ion,135.91344516307802,0.0,1801.985584402923
144,CAES,0.0,0.0,0.0
144,PHS,0.0,0.0,0.0
144,H2,0.0,0.0,0.0
145,Li-Ion,521.5339481565119,0.0,2282.8161265045674
145,CAES,-0.0,0.0,-0.0
145,PHS,-0.0,0.0,-0.0
145,H2,-0.0,0.0,-0.0
146,Li-Ion,31.897012805332174,0.0,2312.2237192659272
146,CAES,0.0,0.0,0.0
146,PHS,0.0,0.0,0.0
146,H2,0.0,0.0,0.0
147,Li-Ion,464.72190745400894,0.0,2740.676147870946
147,CAES,-0.0,0.0,-0.0
147,PHS,-0.0,0.0,-0.0
147,H2,-0.0,0.0,-0.0
148,Li-Ion,0.4440824285697431,0.0,2741.085571640236
148,CAES,0.0,0.0,-0.0
148,PHS,0.0,0.0,0.0
148,H2,0.0,0.0,-0.0
149,Li-Ion,214.1379303373849,0.0,2938.510988514057
149,CAES,0.0,0.0,-0.0
149,PHS,-0.0,0.0,-0.0
149,H2,0.0,0.0,-0.0
150,Li-Ion,0.0,0.0,2938.510988514057
150,CAES,0.0,0.0,-0.0
150,PHS,0.0,0.0,0.0
150,H2,0.0,0.0,-0.0
151,Li-Ion,398.8615736394313,0.0,3306.2431895615105
151,CAES,0.0,0.0,-0.0
151,PHS,2.9833485922020094e-12,0.0,2.7505114977408577e-12
151,H2,0.0,0.0,-0.0
152,Li-Ion,799.6209855418308,0.0,4043.4573120802365
152,CAES,0.0,0.0,-0.0
152,PHS,-2.98334859220201e-12,0.0,0.0
152,H2,0.0,0.0,-0.0
153,Li-Ion,392.5628980309497,0.0,4405.382421148244
153,CAES,0.0,0.0,-0.0
153,PHS,-0.0,0.0,0.0
153,H2,0.0,0.0,-0.0
154,Li-Ion,474.1056752105162,0.0,4842.486256154066
154,CAES,0.0,0.0,-0.0
154,PHS,-0.0,0.0,0.0
154,H2,0.0,0.0,-0.0
155,Li-Ion,60.26121260253262,0.0,4898.044349018009
155,CAES,0.0,0.0,-0.0
155,PHS,-0.0,0.0,-0.0
155,H2,0.0,0.0,-0.0
156,Li-Ion,0.0,0.0,4898.044349018009
156,CAES,0.0,0.0,-0.0
156,PHS,0.0,0.0,0.0
156,H2,0.0,0.0,-0.0
157,Li-Ion,793.9580581797912,0.0,5630.03751047946
157,CAES,0.0,0.0,0.0
157,PHS,-0.0,0.0,0.0
157,H2,0.0,0.0,-0.0
158,Li-Ion,537.4420982457084,0.0,6125.534642279168
158,CAES,0.0,0.0,-0.0
158,PHS,0.0,0.0,-0.0
158,H2,0.0,0.0,-0.0
159,Li-Ion,437.2196687284154,0.0,6528.631259623618
159,CAES,0.0,0.0,-0.0
159,PHS,-0.0,0.0,0.0
159,H2,0.0,0.0,-0.0
160,Li-Ion,61.11571422275197,0.0,6584.977164055204
160,CAES,0.0,0.0,-0.0
160,PHS,-0.0,0.0,0.0
160,H2,0.0,0.0,-0.0
161,Li-Ion,718.7129950406062,0.0,7247.597805036304
161,CAES,0.0,0.0,-0.0
