Hour,Technology,Charging power (MW),Discharging power (MW),State of charge (MWh)
69,Li-Ion,0.0,0.0,1106.3453311873006
69,CAES,0.0,0.0,3253.956856433237
69,PHS,0.0,0.0,-0.0
69,H2,0.0,0.0,-0.0
70,Li-Ion,0.0,0.0,1106.3453311873006
70,CAES,0.0,0.0,3253.956856433237
70,PHS,0.0,0.0,-0.0
70,H2,0.0,0.0,-0.0
71,Li-Ion,0.0,0.0,1106.3453311873006
71,CAES,0.0,0.0,3253.956856433237
71,PHS,0.0,0.0,-0.0
71,H2,0.0,0.0,-0.0
72,Li-Ion,0.0,0.0,1106.3453311873006
72,CAES,0.0,0.0,3253.956856433237
72,PHS,0.0,0.0,-0.0
72,H2,0.0,0.0,-0.0
73,Li-Ion,0.0,0.0,1106.3453311873006
73,CAES,0.0,-0.0,3253.956856433237
73,PHS,0.0,0.0,-0.0
73,H2,0.0,-0.0,-0.0
74,Li-Ion,0.0,0.0,1106.3453311873006
74,CAES,0.0,0.0,3253.956856433237
74,PHS,0.0,0.0,-0.0
74,H2,0.0,0.0,-0.0
75,Li-Ion,0.0,0.0,1106.3453311873006
75,CAES,0.0,0.0,3253.956856433237
75,PHS,0.0,0.0,-0.0
75,H2,0.0,0.0,-0.0
76,Li-Ion,0.0,0.0,1106.3453311873006
76,CAES,0.0,0.0,3253.956856433237
76,PHS,0.0,0.0,-0.0
76,H2,0.0,0.0,-0.0
77,Li-Ion,0.0,0.0,1106.3453311873006
77,CAES,0.0,0.0,3253.956856433237
77,PHS,0.0,0.0,-0.0
77,H2,0.0,0.0,-0.0
78,Li-Ion,0.0,0.0,1106.3453311873006
78,CAES,0.0,0.0,3253.956856433237
78,PHS,0.0,0.0,-0.0
78,H2,0.0,0.0,-0.0
79,Li-Ion,0.0,0.0,1106.3453311873006
79,CAES,0.0,0.0,3253.956856433237
79,PHS,0.0,0.0,-0.0
79,H2,0.0,0.0,-0.0
80,Li-Ion,0.0,0.0,1106.3453311873006
80,CAES,0.0,0.0,3253.956856433237
80,PHS,0.0,0.0,-0.0
80,H2,0.0,0.0,-0.0
81,Li-Ion,0.0,0.0,1106.3453311873006
81,CAES,0.0,0.0,3253.956856433237
81,PHS,0.0,0.0,-0.0
81,H2,0.0,0.0,-0.0
82,Li-Ion,0.0,0.0,1106.3453311873006
82,CAES,0.0,0.0,3253.956856433237
82,PHS,0.0,0.0,-0.0
82,H2,0.0,0.0,-0.0
83,Li-Ion,0.0,0.0,1106.3453311873006
83,CAES,0.0,0.0,3253.956856433237
83,PHS,0.0,0.0,-0.0
83,H2,0.0,0.0,-0.0
84,Li-Ion,0.0,0.0,1106.3453311873006
84,CAES,0.0,0.0,3253.956856433237
84,PHS,0.0,0.0,-0.0
84,H2,0.0,0.0,-0.0
85,Li-Ion,0.0,0.0,1106.3453311873006
85,CAES,0.0,0.0,3253.956856433237
85,PHS,0.0,0.0,-0.0
85,H2,0.0,0.0,-0.0
86,Li-Ion,0.0,0.0,1106.3453311873006
86,CAES,0.0,0.0,3253.956856433237
86,PHS,0.0,0.0,-0.0
86,H2,0.0,0.0,-0.0
87,Li-Ion,0.0,0.0,1106.3453311873006
87,CAES,0.0,0.0,3253.956856433237
87,PHS,0.0,0.0,-0.0
87,H2,0.0,0.0,-0.0
88,Li-Ion,0.0,0.0,1106.3453311873006
88,CAES,0.0,0.0,3253.956856433237
88,PHS,0.0,0.0,-0.0
88,H2,0.0,0.0,-0.0
89,Li-Ion,0.0,0.0,1106.3453311873006
89,CAES,0.0,0.0,3253.956856433237
89,PHS,0.0,0.0,-0.0
89,H2,0.0,0.0,-0.0
90,Li-Ion,0.0,0.0,1106.3453311873006
90,CAES,0.0,2.7284841053187847e-12,3253.956856433234
90,PHS,0.0,-0.0,-0.0
90,H2,0.0,-0.0,-0.0
91,Li-Ion,0.0,0.0,1106.3453311873006
91,CAES,0.0,0.0,3253.956856433234
91,PHS,0.0,0.0,-0.0
91,H2,0.0,0.0,-0.0
92,Li-Ion,0.0,0.0,1106.3453311873006
92,CAES,0.0,25.603576186960453,3226.185878913073
92,PHS,0.0,-0.0,0.0
92,H2,0.0,-0.0,-0.0
93,Li-Ion,0.0,0.0,1106.3453311873006
93,CAES,0.0,0.0,3226.185878913073
93,PHS,0.0,-0.0,-0.0
93,H2,0.0,0.0,-0.0
94,Li-Ion,0.0,0.0,1106.3453311873006
94,CAES,0.0,0.0,3226.185878913073
94,PHS,0.0,0.0,-0.0
94,H2,0.0,0.0,-0.0
95,Li-Ion,0.0,0.0,1106.3453311873006
95,CAES,0.0,0.0,3226.185878913073
95,PHS,0.0,0.0,-0.0
95,H2,0.0,0.0,-0.0
96,Li-Ion,0.0,0.0,1106.3453311873006
96,CAES,0.0,0.0,3226.185878913073
96,PHS,0.0,0.0,-0.0
96,H2,0.0,0.0,-0.0
97,Li-Ion,0.0,0.0,1106.3453311873006
97,CAES,0.0,0.0,3226.185878913073
97,PHS,0.0,0.0,-0.0
97,H2,0.0,0.0,-0.0
