*Hour,Load
1970,2361
1971,2499
1972,2645
1973,2678
1974,2723
1975,2758
1976,2856
1977,3202
1978,3506
1979,3574
1980,3628
1981,3395
1982,3447
1983,3361
1984,3300
1985,3289
1986,3179
1987,3120
1988,3185
1989,3032
1990,2848
1991,2661
1992,2563
1993,2438
1994,2411
1995,2537
1996,2640
1997,2713
1998,2667
1999,2686
2000,2831
2001,3145
2002,3319
2003,3389
2004,3483
2005,3254
2006,3330
2007,3248
2008,3169
2009,3213
2010,3125
2011,3064
2012,3083
2013,2956
2014,2781
2015,2603
2016,2526
2017,2385
2018,2376
2019,2499
2020,2617
2021,2619
2022,2542
2023,2502
2024,2545
2025,2666
2026,2863
2027,2905
2028,2846
2029,2768
2030,2812
2031,2743
2032,2746
2033,2846
2034,2870
2035,2866
2036,2917
2037,2827
2038,2654
2039,2555
2040,2430
2041,2310
2042,2273
2043,2395
2044,2507
2045,2547
2046,2598
2047,2550
2048,2548
2049,2679
2050,2833
2051,2911
2052,3004
2053,3004
2054,2915
2055,2821
2056,2778
2057,2863
2058,2939
2059,2908
2060,2973
2061,2827
2062,2659
2063,2504
2064,2425
2065,2336
2066,2295
2067,2438
2068,2563
2069,2609
2070,2671
2071,2726
2072,2853
2073,3156
2074,3396
2075,3529
2076,3553
2077,3398
2078,3499
2079,3482
2080,3469
2081,3527
2082,3442
2083,3301
2084,3274
2085,3096
2086,2897
2087,2709
2088,2591
2089,2446
2090,2451
2091,2534
2092,2652
2093,2681
2094,2725
2095,2821
2096,2951
2097,3254
2098,3465
2099,3540
2100,3648
2101,3570
2102,3690
2103,3695
2104,3586
2105,3571
2106,3410
2107,3302
2108,3300
2109,3141
2110,2915
2111,2705
2112,2620
2113,2484
2114,2429
2115,2538
2116,2693
2117,2750
2118,2711
2119,2772
2120,2914
2121,3221
2122,3501
2123,3588
2124,3645
2125,3303
2126,3330
2127,3427
2128,3423
2129,3470
2130,3387
2131,3317
2132,3320
2133,3192
2134,2980
2135,2767
2136,2644
2137,2498
2138,2475
2139,2561
2140,2710
2141,2783
2142,2752
2143,2788
2144,2967
2145,3360
2146,3566
2147,3667
2148,3759
2149,3526
2150,3627
2151,3583
2152,3582
2153,3567
2154,3450
2155,3371
2156,3403
2157,3258
2158,3045
2159,2898
2160,2710
2161,2535
2162,2477
2163,2590
2164,2726
2165,2735
2166,2712
2167,2798
2168,2992
2169,3333
2170,3543
2171,3603
2172,3660
2173,3558
2174,3596
2175,3575
2176,3510
2177,3477
2178,3398
2179,3325
2180,3285
2181,3132
2182,2934
2183,2806
2184,2677
2185,2482
2186,2470
2187,2579
2188,2711
2189,2714
2190,2683
2191,2613
2192,2663
2193,2887
2194,3040
2195,3116
2196,3163
2197,3028
2198,2952
2199,2927
2200,2918
2201,2911
2202,2882
2203,2873
2204,2976
2205,2857
2206,2674
2207,2545
2208,2432
2209,2289
2210,2313
2211,2428
2212,2541
2213,2548
2214,2501
2215,2482
2216,2484
2217,2677
2218,2880
2219,2892
2220,2756
2221,2772
2222,2719
2223,2765
2224,2736
2225,2772
2226,2822
2227,2824
2228,2915
2229,2831
2230,2663
2231,2529
2232,2420
2233,2300
2234,2278
2235,2388
2236,2559
2237,2573
2238,2587
2239,2644
2240,2758
2241,3060
2242,3264
2243,3357
2244,3427
2245,3268
2246,3330
2247,3285
2248,3293
2249,3333
2250,3220
2251,3150
2252,3166
2253,3027
2254,2832
2255,2653
2256,2584
2257,2429
2258,2397
2259,2508
2260,2655
2261,2680
2262,2697
2263,2741
2264,2855
2265,3127
2266,3427
2267,3519
2268,3540
2269,3369
2270,3433
2271,3385
2272,3344
2273,3395
2274,3294
2275,3201
2276,3207
2277,3060
2278,2842
2279,2688
2280,2582
2281,2457
2282,2394
2283,2485
2284,2655
2285,2721
2286,2706
2287,2724
2288,2832
2289,3103
2290,3297
2291,3402
2292,3482
2293,3396
2294,3532
2295,3512
2296,3515
2297,3531
2298,3372
2299,3246
2300,3220
2301,3064
2302,2841
2303,2675
2304,2630
2305,2472
2306,2424
2307,2542
2308,2698
2309,2770
2310,2812
2311,2818
2312,2963
2313,3238
2314,3451
2315,3427
2316,3437
2317,3111
2318,3259
2319,3390
2320,3453
2321,3518
2322,3404
2323,3315
2324,3290
2325,3130
2326,2935
2327,2789
2328,2688
2329,2553
2330,2524
2331,2609
2332,2802
2333,2806
2334,2835
2335,2899
2336,3018
2337,3411
2338,3564
2339,3655
2340,3726
2341,3549
2342,3652
2343,3638
2344,3520
2345,3566
2346,3427
2347,3290
2348,3334
2349,3199
2350,2973
2351,2795
2352,2716
2353,2573
2354,2488
2355,2562
2356,2710
2357,2771
2358,2723
2359,2702
2360,2760
2361,2930
2362,3164
2363,3329
2364,3428
2365,3400
2366,3428
2367,3401
2368,3346
2369,3411
2370,3370
2371,3260
2372,3263
2373,3155
2374,2955
2375,2754
2376,2650
2377,2523
2378,2449
2379,2543
2380,2673
2381,2674
2382,2690
2383,2746
2384,2776
2385,2963
2386,3231
2387,3379
2388,3363
2389,3318
2390,3310
2391,3243
2392,3193
2393,3239
2394,3245
2395,3201
2396,3250
2397,3121
2398,2916
2399,2724
2400,2606
2401,2471
2402,2386
2403,2519
2404,2689
2405,2720
2406,2761
2407,2832
2408,3002
2409,3348
2410,3547
2411,3631
2412,3829
2413,3673
2414,3725
2415,3677
2416,3702
2417,3747
2418,3616
2419,3494
2420,3511
2421,3329
2422,3124
2423,2909
2424,2723
2425,2566
2426,2505
2427,2591
2428,2763
2429,2765
2430,2764
2431,2901
2432,3094
2433,3507
2434,3819
2435,3908
2436,3988
2437,3853
2438,3769
2439,3671
2440,3623
2441,3686
2442,3540
2443,3447
2444,3417
2445,3239
2446,3014
2447,2818
2448,2707
2449,2531
2450,2484
2451,2553
2452,2711
2453,2728
2454,2755
2455,2869
2456,3104
2457,3444
2458,3693
2459,3716
2460,3743
2461,3533
